Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!
Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
{dt} - {action} {stockName} at ${currentPrice}. {indicator} is at {indicatorNumber}
2025-02-09 23:11:46.036706+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:02.407318+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:04.142277+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:05.176299+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:05.891989+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:06.493868+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:07.071039+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:07.648646+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:08.811276+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:09.351058+00:00 - buy tsla at $50. RSI is at 30
2025-02-09 23:12:10.165720+00:00 - buy tsla at $50. RSI is at 30
2025-02-25 00:31:31.567243+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:32.880590+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:34.149612+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:35.470574+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:36.843514+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:38.185561+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:39.571177+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:40.813456+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:42.071057+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:43.338083+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:44.697465+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:45.957315+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:47.232786+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:48.563929+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:49.831473+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:51.116125+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:52.414451+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:53.651599+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:54.947685+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:56.212404+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:57.467141+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:31:58.730552+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:00.009767+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:01.265415+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:49.181942+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:50.438569+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:51.696975+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:53.196785+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:54.438445+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:55.673329+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:56.947160+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:32:58.191941+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:33:08.480240+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:33:09.743634+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:33:11.115945+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:33:12.430028+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:33:13.671747+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:33:14.912288+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:33:16.155297+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:33:17.392383+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:33:18.642266+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:33:19.904276+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:33:21.153886+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:33:22.416174+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:33:23.669625+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:33:24.913163+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:33:26.165042+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:33:27.410462+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:33:28.666932+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:14.680014+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
